Tétel;Esemény;Dátum;Kép1;Kép2;Kép3
[07] Magyarországgal kötött trianoni békeszerződés;Horthy Miklós kormányzó;1920. március 1.;7_Horthy Miklós_1.jpg
[07] Magyarországgal kötött trianoni békeszerződés;Magyarországi Tanácsköztársaság születése;1919. március 21.;7_Magyarországi Tanácsköztársaság születése_1.jpg
[07] Magyarországgal kötött trianoni békeszerződés;Vix jegyzék;1919. március 20.;7_Vix Jegyzék_1.jpg
[07] Magyarországgal kötött trianoni békeszerződés;Békeszerződés aláírása;1920. június 4.;7_Békeszerződés aláírása_1.jpg
[07] Magyarországgal kötött trianoni békeszerződés;Trianoni békeszerződés életbelépése;1921. július 31.;7_Trianoni békeszerződés életbelépése_1.jpg;7_Trianoni békeszerződés életbelépése_2.jpg;7_Trianoni békeszerződés életbelépése_3.jpg
